ID,County_Soil,marginal_cost,marginal_qty
456,"YAZOO COUNTY, MS",6.425714455,424621.12
457,"HARNETT COUNTY, NC",6.425714455,96672.57
458,"JAMES CITY COUNTY, VA",6.425714455,12735.5
459,"WASHINGTON COUNTY, VA",6.435690582,6806.49
460,"PANOLA COUNTY, TX",6.436370811,1453.76
461,"CHESTER COUNTY, TN",6.457683523,42370.94
462,"LAUDERDALE COUNTY, TN",6.457683523,217236.1
463,"WAYNE COUNTY, TN",6.457683523,17607.74
464,"KING WILLIAM COUNTY, VA",6.457683523,46032.76
465,"LAFAYETTE COUNTY, MS",6.468339037,52995.71
466,"ROBESON COUNTY, NC",6.468339037,307965.5
467,"ANDERSON COUNTY, TN",6.469111029,458.31
468,"SULLIVAN COUNTY, TN",6.470064865,3814.27
469,"MERIWETHER COUNTY, GA",6.478995393,733.04
470,"STONE COUNTY, MS",6.478995393,10393.15
471,"PITT COUNTY, NC",6.478995393,211869.51
472,"SULLIVAN COUNTY, NY",6.480754896,15225.67
473,"WICHITA COUNTY, TX",6.491976145,304796.8
474,"MACON COUNTY, GA",6.500308105,115568.99
475,"RICHMOND COUNTY, GA",6.500308105,17530.13
476,"POLK COUNTY, TX",6.500308105,147.84
477,"WAYNE COUNTY, PA",6.503045015,15320.53
478,"TAYLOR COUNTY, GA",6.510963619,60046.45
479,"IOWA COUNTY, IA",6.510963619,420057.79
480,"BOSSIER PARISH, LA",6.532276331,27527.81
481,"CLARKE COUNTY, MS",6.532276331,10627.23
482,"GREENE COUNTY, NC",6.532276331,105661.25
483,"JONES COUNTY, NC",6.532276331,84061.83
